,Name,Date,Time,Theatre,Cluster
135,Не боюсь Вірджинії Вулф ,2023-12-22,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
136,Іранська Конференція ,2023-12-22,18:30:00,Київський академічний театр на Печерську,Вечірня
137,«Брикси»,2023-12-22,19:00:00,Театр Драматургів,Вечірня
138,Звір ,2023-12-22,19:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
139,Шахрайки?.. Лесбійки?!! Красуні! ,2023-12-22,19:00:00,Театр на Михайлівській,Вечірня
140,Мавка Шоу,2023-12-22,19:00:00,Концерт-хол ВДНГ,Вечірня
141,Пристрасті дому пана Г.-П.,2023-12-22,19:00:00,"Київський академічний театр ""Колесо""",Вечірня
142,Основний інстинкт,2023-12-22,19:00:00,Будинок Офіцерів,Вечірня
143,Вбити не можна розлучитися,2023-12-23,14:00:00,Київський академічний драматичний театр на Подолі,Денна
144,«Море... Ніч... Свічки...»,2023-12-23,15:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Денна
145,Мавка Шоу,2023-12-23,15:00:00,Концерт-хол ВДНГ,Денна
146,Пристрасті дому пана Г.-П. ,2023-12-23,15:00:00,"Київський академічний театр ""Колесо""",Денна
147,Історія публічних будинків старого Києва та Львова,2023-12-23,15:30:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
148,Приворотне зілля,2023-12-23,16:00:00,Київський академічний драматичний театр на Подолі,Післяобідня
149,Хостел 24/7 ,2023-12-23,16:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
150,Для домашнього огнища ,2023-12-23,17:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
151,Kyiv Modern-Ballet. «За хвилину до Різдва»,2023-12-23,17:00:00,"Київський  культурний кластер ""Краків""",Післяобідня
152,Вистава «Бульвар Сансет»,2023-12-23,18:00:00,Київська Консерваторія,Вечірня
153,«AMORE по коліно»,2023-12-23,18:00:00,КУЛЬТ театр,Вечірня
154,"Вистава «Жениха викликали, дівчата?».",2023-12-23,18:00:00,Будинок Архітектора,Вечірня
155,Зальот ,2023-12-23,18:00:00,Український малий драматичний театр,Вечірня
156,Випадок у «Готелі Дю Комерс»,2023-12-23,18:00:00,"Київський академічний театр ""Колесо""",Вечірня
157,Каліки ,2023-12-23,18:00:00,Київський академічний театр “Золоті ворота”,Вечірня
158,Наталка Полтавка.doc ,2023-12-23,18:00:00,Київський академічний театр на Печерську,Вечірня
159,Альбатроси.,2023-12-23,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
160,Мавка Шоу,2023-12-23,18:00:00,Концерт-хол ВДНГ,Вечірня
161,Українські вечорниці,2023-12-23,18:00:00,Київський академічний театр українського фольклору «Берегиня»,Вечірня
162,Як продати чоловіка ,2023-12-23,18:30:00,Театр на Троєщині,Вечірня
163, «На трьох одне серце і душа» ,2023-12-23,19:00:00,Київський драматичний театр Браво,Вечірня
164,Вистава «Зашквар». ,2023-12-23,19:00:00,Театр Між Трьох Колон,Вечірня
165,Зелені коридори ,2023-12-23,19:00:00,Театр Драматургів,Вечірня
166, «Зашквар»,2023-12-23,19:00:00,Театр «Між Трьох Колон»,Вечірня
167,Чарівник ,2023-12-24,12:00:00,Національний академічний драматичний театр ім.Лесі Українки,Денна
168,Вбити не можна розлучитися ,2023-12-24,14:00:00,Київський академічний драматичний театр на Подолі,Денна
169,Намалюй мені літак.,2023-12-24,15:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Денна
170,Мавка Шоу,2023-12-24,15:00:00,Концерт-хол ВДНГ,Денна
171,Декоратор ,2023-12-24,16:00:00,Київський академічний драматичний театр на Подолі,Післяобідня
172,«За двома зайцями» ,2023-12-24,17:00:00,Київський Національний Академічний театр оперети,Післяобідня
173,Твій хтось ,2023-12-24,17:00:00,Київський академічний театр на Печерську,Післяобідня
174,«Вечорниці» ,2023-12-24,18:00:00,"Київський академічний театр ""Колесо""",Вечірня
175,Крихітка Цахес ,2023-12-24,18:00:00,Київський академічний театр “Золоті ворота”,Вечірня
176,Ім'я ,2023-12-24,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
177,Близькість,2023-12-24,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
178,«STOP! Жінки!»,2023-12-24,18:00:00,Дім Актора,Вечірня
179,Мавка Шоу,2023-12-24,18:00:00,Концерт-хол ВДНГ,Вечірня
180,I love на валізах ,2023-12-24,19:00:00,Київський драматичний театр Браво,Вечірня
181,Собачка,2023-12-24,19:00:00,Нічний клуб «Heaven»,Вечірня
182,Основний інстинкт,2023-12-24,19:00:00,Будинок Офіцерів,Вечірня
183,Готель «Великобританія» ,2023-12-24,19:00:00,Театр Драматургів,Вечірня
184,Методи виховання малих засранців ,2023-12-25,18:00:00,Театр на Троєщині,Вечірня
185,"Кефір, зефір і кашемір ",2023-12-25,19:00:00,Театр на Михайлівській,Вечірня
186,Ножиці,2023-12-26,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
187,Хазяїн ,2023-12-26,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
188,«STOP! Жінки!»,2023-12-26,18:00:00,Центральний будинок художника,Вечірня
189,Хлібне перемир’я. ,2023-12-26,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
190,Музично-драматична вистава «Про що знаю тільки я»,2023-12-26,18:00:00,Національний центр театрального мистецтва ім. Леся Курбаса (НЦТІ ім. Леся Курбаса),Вечірня
191,Святе сімейство ,2023-12-26,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
192,Бери од жизні всьо ,2023-12-26,19:00:00,Київський академічний театр “Золоті ворота”,Вечірня
193,Одеса. Шалене кохання ,2023-12-26,19:00:00,"Київський академічний театр ""Колесо""",Вечірня
194,Сойчине крило,2023-12-27,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
195,Цвіт Жакаранди ,2023-12-27,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
196,Kyiv Modern Ballet. Довгий різдвяний обід. Жінки у ре мінорі,2023-12-27,18:00:00,МЦКМ (Жовтневий палац),Вечірня
197,«Як Баба стала Ягою»,2023-12-27,18:00:00,Центральний будинок художника,Вечірня
198,Моменти/Momenti. ,2023-12-27,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
199,"Вистава «Роздягайся, будемо... говорити»",2023-12-27,18:30:00,CARIBBEAN club,Вечірня
200,Бабуня з дідунем займаються сексом ,2023-12-27,19:00:00,Театр Драматургів,Вечірня
201,"У Києві, на Подолі, або «Гдє Ві сохнітє бєльйо?»",2023-12-27,19:00:00,"Київський академічний театр ""Колесо""",Вечірня
202,Украдене щастя ,2023-12-27,19:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
203,Методи виховання малих засранців ,2023-12-27,19:00:00,Театр на Михайлівській,Вечірня
204,3D балет «LISOVA...»,2023-12-27,19:30:00,Київський планетарій,Вечірня
205,Льовушка ,2023-12-28,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
206,«Шерлок»,2023-12-28,18:00:00,Будинок Офіцерів,Вечірня
207,Двоє ,2023-12-28,18:00:00,Український малий драматичний театр,Вечірня
208,Королева краси ,2023-12-28,18:00:00,Київський академічний театр “Золоті ворота”,Вечірня
209,AGNORIS ,2023-12-28,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
210,Корсиканка.,2023-12-28,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
211,Гуцулка Ксеня ,2023-12-28,18:00:00,Київський академічний театр українського фольклору «Берегиня»,Вечірня
212,Соломія ,2023-12-28,18:30:00,Київський академічний театр на Печерську,Вечірня
213,Чорний Квадрат. МЖМ: Мрію. Жадаю. Можу,2023-12-28,18:30:00,Культурний центр «Арт-Братислава»,Вечірня
214,Вітер шумить в тополях ,2023-12-28,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
215,Два аромати троянди ,2023-12-28,19:00:00,"Київський академічний театр ""Колесо""",Вечірня
216,"Історія, якій понад 2000 років ",2023-12-29,12:00:00,Український малий драматичний театр,Денна
217,"Історія, якій понад 2000 років ",2023-12-29,14:00:00,Український малий драматичний театр,Денна
218,Мавка Шоу,2023-12-29,17:00:00,Концерт-хол ВДНГ,Післяобідня
219,Марлені ,2023-12-29,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
220,Історії Кохання для Дорослих,2023-12-29,18:00:00,Будинок Офіцерів,Вечірня
221,Схоже на щастя,2023-12-29,18:00:00,"МЦКМ ""Жовтневий палац""",Вечірня
222,Дякую ,2023-12-29,18:00:00,Київський академічний театр “Золоті ворота”,Вечірня
223,«Flower boom» / «Квітковий бум» ,2023-12-29,18:00:00,"Київський академічний театр ""Колесо""",Вечірня
224,Вар’єте «Рояль» (Вік: 21 плюс),2023-12-29,18:00:00,CARIBBEAN club,Вечірня
225,Потрібен брехун!,2023-12-29,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
226,Жіноча логіка. ,2023-12-29,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
227,Шоу-спектакль Minecraft проти Brawl Stars,2023-12-29,18:00:00,Будинок кіно,Вечірня
228,Соломія ,2023-12-29,18:30:00,Київський академічний театр на Печерську,Вечірня
229,Свої ,2023-12-29,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
230,«На трьох одне серце і душа»,2023-12-29,19:00:00,Київський драматичний театр Браво,Вечірня
231,Як продати чоловіка ,2023-12-29,19:00:00,Театр на Михайлівській,Вечірня
232,Шахрайки?.. Лесбійки?!! Красуні! ,2023-12-29,19:00:00,Театр на Троєщині,Вечірня
233,Мавка Шоу,2023-12-29,19:00:00,Концерт-хол ВДНГ,Вечірня
234,Мавка Шоу,2023-12-30,15:00:00,Концерт-хол ВДНГ,Денна
235,Три кохання ,2023-12-30,17:00:00,Національний академічний драматичний театр ім.Лесі Українки,Післяобідня
236,«Flower boom» / «Квітковий бум» ,2023-12-30,18:00:00,"Київський академічний театр ""Колесо""",Вечірня
237,"Білка, яка прожила 100 років ",2023-12-30,18:00:00,Київський академічний театр “Золоті ворота”,Вечірня
238,Сімейна вечеря ,2023-12-30,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
239,З цією виставою щось не так. ,2023-12-30,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
240,Мавка Шоу,2023-12-30,18:00:00,Концерт-хол ВДНГ,Вечірня
241,№13 або Олінклюзів,2023-12-30,18:00:00,Будинок Офіцерів,Вечірня
242,«Комедія про ніжне серце» ,2023-12-30,18:30:00,Театр на Михайлівській,Вечірня
243,Мавка Шоу,2023-12-31,15:00:00,Концерт-хол ВДНГ,Денна
244,№ 13,2023-12-31,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
245,З цією виставою щось не так. ,2023-12-31,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
246,Мавка Шоу,2023-12-31,18:00:00,Концерт-хол ВДНГ,Вечірня
247,Мегери,2023-12-31,18:00:00,Будинок Офіцерів,Вечірня
248,Академія сміху,2023-12-31,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
249,Мавка Шоу,2024-01-01,15:00:00,Концерт-хол ВДНГ,Денна
250,Мавка Шоу,2024-01-01,18:00:00,Концерт-хол ВДНГ,Вечірня
251,Minecraft та Brawl Stars рятують Roblox,2024-01-02,16:00:00,Будинок кіно,Післяобідня
252,1984 ,2024-01-02,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
253,Ім'я ,2024-01-02,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
254,«Звана вечеря з італійцями» ,2024-01-02,18:00:00,Київський Національний Академічний театр оперети,Вечірня
255,З цією виставою щось не так,2024-01-02,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
256,Святе сімейство ,2024-01-02,18:30:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
257,Шахрайки?.. Лесбійки?!! Красуні! ,2024-01-02,19:00:00,Театр на Михайлівській,Вечірня
258,"Колискова для лисиці, яку ще ніхто не бачив",2024-01-03,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
259,Емігранти ,2024-01-03,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
260,«За двома зайцями» ,2024-01-03,18:00:00,Київський Національний Академічний театр оперети,Вечірня
261,Сімейний альбом / Album di Famiglia. ,2024-01-03,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
262,Занадто одружений таксист,2024-01-03,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
263,Мегери ,2024-01-03,18:00:00,Театр «Актор»,Вечірня
264,«Небезпечні ми» ,2024-01-03,18:30:00,Київський академічний театр на Печерську,Вечірня
265,ULTIMA THULE ,2024-01-03,19:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
266,Інстинкт ,2024-01-03,19:00:00,Театр на Михайлівській,Вечірня
267,Льовушка ,2024-01-04,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
268,Хазяїн ,2024-01-04,18:00:00,Київський академічний драматичний театр на Подолі,Вечірня
269,Вистава «Граємо в Дурня». Перший Театр Антрепризи та комедії,2024-01-04,18:00:00,Будинок Архітектора,Вечірня
270,Сімейка Аддамсів ,2024-01-04,18:00:00,Київський Національний Академічний театр оперети,Вечірня
271,«37 листівок»,2024-01-04,18:00:00,Київський академічний театр драми і комедії на лівому березі Дніпра,Вечірня
272,Джульєтта і Ромео,2024-01-04,18:00:00,Національний академічний драматичний театр ім.Лесі Українки,Вечірня
273,Гей-парад ,2024-01-04,18:30:00,Сцена 6,Вечірня
274,Чорний квадрат «Ти – мої бажання»,2024-01-04,18:30:00,Культурний центр «Арт-Братислава»,Вечірня
